iter	RMSE
188	4.839845594
189	4.835765125
190	4.832844813
191	4.831660813
192	4.827863128
193	4.827337243
194	4.821793592
195	4.816628671
196	4.811463253
197	4.807783219
198	4.804028103
199	4.800915286
200	4.798326921
201	4.795493115
202	4.79386601
203	4.788010803
204	4.783319916
205	4.780103466
206	4.776779034
207	4.775819396
208	4.774288257
209	4.77027538
210	4.766531644
211	4.761162542
212	4.758923594
213	4.755861007
214	4.754633028
215	4.750548875
216	4.746953829
217	4.7451303
218	4.741969093
219	4.739537864
220	4.736080243
221	4.733030126
222	4.728314129
223	4.724215244
224	4.723427992
225	4.721098767
226	4.716746159
227	4.714288259
228	4.713483133
229	4.711120193
230	4.706203341
231	4.705282673
232	4.702668994
233	4.699985137
234	4.697745732
235	4.695755743
236	4.694113695
237	4.690818206
238	4.688896238
239	4.681734104
240	4.676930906
241	4.67202649
242	4.668710253
243	4.660407312
244	4.655884406
245	4.653613447
246	4.649879835
247	4.647440998
248	4.646482634
249	4.642009762
250	4.639357946
251	4.635014024
252	4.634487247
253	4.632863944
254	4.62724787
255	4.625791726
256	4.62284378
257	4.6186985
258	4.61426173
259	4.60904079
260	4.607771532
261	4.604808255
262	4.599940072
263	4.592263943
264	4.591797442
265	4.589978804
266	4.588694787
267	4.585428848
268	4.582210604
269	4.577951231
270	4.575852985
271	4.572882298
272	4.572480151
273	4.570930002
274	4.563688619
275	4.562305454
276	4.557117085
277	4.553368803
278	4.54860495
279	4.545923256
280	4.540376807
281	4.53673864
282	4.53268208
283	4.529263172
284	4.524909225
285	4.523809597
286	4.523388764
287	4.518315545
288	4.514763263
289	4.513392187
290	4.507470693
291	4.50549637
292	4.500723621
293	4.498774127
294	4.49806014
295	4.496294594
296	4.492181385
297	4.488924861
298	4.487894146
299	4.484672515
300	4.483742447
301	4.480346214
302	4.478415041
303	4.473642353
304	4.47000446
305	4.466183417
306	4.465190938
307	4.458247685
308	4.453854449
309	4.45213649
310	4.449685481
311	4.444008331
312	4.440922598
313	4.4366309
314	4.43501608
315	4.431552273
316	4.428765596
317	4.427100309
318	4.422090582
319	4.416585141
320	4.413842925
321	4.409261506
322	4.408090711
323	4.405713124
324	4.40323504
325	4.401436604
326	4.397604339
327	4.393705234
328	4.389525578
329	4.383737579
330	4.382235227
331	4.379711772
332	4.377752415
333	4.376883676
334	4.3758663
335	4.374735818
336	4.370635772
337	4.365387656
338	4.363039786
339	4.357373276
340	4.353135566
341	4.35132691
342	4.34938796
343	4.347260774
344	4.345200577
345	4.341725734
346	4.337056847
347	4.335501418
348	4.330275543
349	4.327751932
350	4.326786889
351	4.324341806
352	4.323532848
353	4.318550777
354	4.315767182
355	4.313329576
356	4.309581925
357	4.307397989
358	4.304043568
359	4.303758807
360	4.302990429
361	4.300319944
362	4.296424394
363	4.294026726
364	4.289889811
365	4.285433084
366	4.281192159
367	4.28097871
368	4.277208043
369	4.27700657
370	4.271869927
371	4.268466576
372	4.266410455
373	4.264241814
374	4.260020461
375	4.256812369
376	4.25331797
377	4.250405125
378	4.246648459
379	4.244519676
380	4.243629629
381	4.242230809
382	4.241259245
383	4.237579149
384	4.234726039
385	4.233048965
386	4.231144372
387	4.22949019
388	4.222658707
389	4.219977906
390	4.214390853
391	4.213518379
392	4.21274917
393	4.211328009
394	4.209839141
395	4.204111652
396	4.200873574
397	4.196017289
398	4.195356772
399	4.192292402
400	4.189735814
401	4.185199525
402	4.184517072
403	4.182976729
404	4.179885837
405	4.179357925
406	4.178492227
407	4.175741356
408	4.17434017
409	4.17287818
410	4.170406074
411	4.169508052
412	4.164966391
413	4.163435045
414	4.15985784
415	4.159020341
416	4.15886306
417	4.155538016
418	4.153758037
419	4.15065243
420	4.149292447
421	4.146072491
422	4.144556685
423	4.138392865
424	4.134244829
425	4.127670984
426	4.124826885
427	4.122218503
428	4.119799316
429	4.117377291
430	4.116390626
431	4.111768584
432	4.111233876
433	4.106963292
434	4.101211403
435	4.098056454
436	4.093715184
437	4.089294917
438	4.087859995
439	4.086416376
440	4.081744848
441	4.079639765
442	4.078966967
443	4.077333546
444	4.072908401
445	4.071296874
446	4.069014663
447	4.065130441
448	4.064495925
449	4.063344753
450	4.062165429
451	4.058033205
452	4.055678571
453	4.052420816
454	4.04999885
455	4.048998528
456	4.048400967
457	4.045418568
458	4.041363508
459	4.037888915
460	4.034312536
461	4.032627106
462	4.029683565
463	4.025428543
464	4.024711569
465	4.019940152
466	4.019703006
467	4.015862882
468	4.014972395
469	4.012192001
470	4.011092138
471	4.007787841
472	4.004800173
473	4.002249693
474	4.000059561
475	3.995574679
476	3.994806203
477	3.992500337
478	3.991110827
479	3.988064847
480	3.986630558
481	3.98395142
482	3.980168362
483	3.976848632
484	3.971884132
485	3.971560437
486	3.966695908
487	3.9645427
488	3.960997236
489	3.959924607
490	3.956650679
491	3.956433224
492	3.952740376
493	3.951386158
494	3.951178213
495	3.946689255
496	3.943384988
497	3.94095954
498	3.936703564
499	3.933246715
500	3.93234227
501	3.927333812
502	3.925714502
503	3.923109548
504	3.91988875
505	3.916166974
506	3.913100552
507	3.909864547
508	3.909090933
509	3.906307245
510	3.902374247
511	3.899715451
512	3.897158092
513	3.896274313
514	3.893682186
515	3.888441111
516	3.885621805
517	3.884436303
518	3.882577846
519	3.879758287
520	3.877036505
521	3.873662434
522	3.871921256
523	3.871267101
524	3.870103727
525	3.868968229
526	3.867873309
527	3.864940855
528	3.861101668
529	3.858875067
530	3.85619566
531	3.851491968
532	3.848587656
533	3.845086246
534	3.844940721
535	3.842030012
536	3.839941951
537	3.838635527
538	3.83611417
539	3.833937595
540	3.833504618
541	3.829243108
542	3.828740508
543	3.824520356
544	3.822105305
545	3.817482871
546	3.816783385
547	3.815140322
548	3.814220428
549	3.813310637
550	3.812632652
551	3.812165778
552	3.809401096
553	3.808789786
554	3.807269281
555	3.804090653
556	3.800516193
557	3.798718091
558	3.798259102
559	3.797024719
560	3.794707786
561	3.79304308
562	3.792980242
563	3.789678413
564	3.787567666
565	3.784837586
566	3.781443682
567	3.780806485
568	3.778428673
569	3.77607624
570	3.771788213
571	3.770942787
572	3.768128781
573	3.767491027
574	3.766977148
575	3.766437895
576	3.763662332
577	3.762247617
578	3.760634937
579	3.759427649
580	3.755595046
581	3.754972664
582	3.752164989
583	3.751263291
584	3.748585173
585	3.747938005
586	3.745278194
587	3.744504359
588	3.741818788
589	3.740514505
590	3.737104594
591	3.736232548
592	3.735794153
593	3.732895854
594	3.732646911
595	3.729003726
596	3.728582568
597	3.725320936
598	3.722359563
599	3.721244911
600	3.717849694
601	3.714936389
602	3.71355552
603	3.711348037
604	3.709451203
605	3.706409971
606	3.703166036
607	3.702806205
608	3.701352674
609	3.699699632
610	3.697153129
611	3.694933839
612	3.692484732
613	3.690795201
614	3.690278647
615	3.686184152
616	3.684453946
617	3.680397282
618	3.679109778
619	3.678491575
620	3.67465613
621	3.67101343
622	3.670664868
623	3.668927518
624	3.665863026
625	3.663397866
626	3.660828598
627	3.658811756
628	3.657608417
629	3.656460617
630	3.654421496
631	3.652268136
632	3.650691464
633	3.650457516
634	3.648897378
635	3.648577818
636	3.647373927
637	3.646204333
638	3.64601662
639	3.643784796
640	3.641397033
641	3.641367639
642	3.640455832
643	3.640247558
644	3.638746782
645	3.636816801
646	3.636256694
647	3.633219837
648	3.63067962
649	3.630118936
650	3.62677537
651	3.625653532
652	3.623584526
653	3.619756032
654	3.616750038
655	3.616114539
656	3.614212321
657	3.61121233
658	3.608862302
659	3.607746517
660	3.605948023
661	3.605431597
662	3.603302764
663	3.60282616
664	3.602094222
665	3.601384542
666	3.601168418
667	3.598117755
668	3.596944334
669	3.596150981
670	3.593848219
671	3.592105153
672	3.588407137
673	3.587075654
674	3.583679975
675	3.581406463
676	3.580183172
677	3.577915702
678	3.577222846
679	3.574674289
680	3.57235754
681	3.569273863
682	3.565855881
683	3.563143396
684	3.560377337
685	3.559479291
686	3.556532246
687	3.553473172
688	3.55305614
689	3.551978395
690	3.549331444
691	3.546332471
692	3.544170885
693	3.541183523
694	3.540601925
695	3.539985876
696	3.538684893
697	3.535702108
698	3.533720106
699	3.531414391
700	3.530660464
701	3.527096917
702	3.525034863
703	3.522759697
704	3.521636561
705	3.521356728
706	3.521161741
707	3.517277771
708	3.515279234
709	3.514531482
710	3.51128982
711	3.51021134
712	3.507847398
713	3.506182139
714	3.503359385
715	3.50269239
716	3.499701403
717	3.497916586
718	3.496529115
719	3.49330974
720	3.492500798
721	3.488190917
722	3.484562035
723	3.481577063
724	3.479701041
725	3.478751689
726	3.478696477
727	3.475702689
728	3.474585101
729	3.472628012
730	3.469551698
731	3.468270089
732	3.466445584
733	3.465870907
734	3.464249823
735	3.464045591
736	3.4630679
737	3.459716947
738	3.457538735
739	3.455585056
740	3.453917635
741	3.453643453
742	3.453567089
743	3.451894041
744	3.449698197
745	3.448204957
746	3.445981493
747	3.443284607
748	3.441329663
749	3.43932756
750	3.438066612
751	3.437999083
752	3.437367883
753	3.435208735
754	3.432475746
755	3.42950825
756	3.427435965
757	3.427369048
758	3.426681359
759	3.425927333
760	3.425181425
761	3.423283487
762	3.420697029
763	3.420296555
764	3.417086637
765	3.416147325
766	3.414219002
767	3.41321513
768	3.413159335
769	3.413041813
770	3.410815376
771	3.407501139
772	3.406302143
773	3.405104829
774	3.404001189
775	3.403573255
776	3.400887905
777	3.400558032
778	3.396957002
779	3.394314905
780	3.392995846
781	3.39282215
782	3.390195793
783	3.389536276
784	3.387934786
785	3.386102584
786	3.384487605
787	3.384268849
788	3.383053938
789	3.381170894
790	3.380584498
791	3.378238583
792	3.376054869
793	3.373370975
794	3.372829555
795	3.371903527
796	3.37175199
797	3.36809585
798	3.367036647
799	3.364419034
800	3.362281488
801	3.361016615
802	3.359453099
803	3.357616766
804	3.357164534
805	3.354667995
806	3.351991135
807	3.350993039
808	3.347412426
809	3.346396943
810	3.346162607
811	3.344482924
812	3.341793402
813	3.340455698
814	3.337760475
815	3.336792228
816	3.334586926
817	3.331486891
818	3.329107365
819	3.32655003
820	3.323316438
821	3.323124961
822	3.320920592
823	3.31933322
824	3.318009045
825	3.317833688
826	3.317600437
827	3.315610279
828	3.314815063
829	3.313270947
830	3.313105381
831	3.310610224
832	3.307243605
833	3.304901424
834	3.303902818
835	3.303396222
836	3.30195022
837	3.299481996
838	3.297461293
839	3.295763863
840	3.295107425
841	3.293610434
842	3.290856951
843	3.29067185
844	3.290502097
845	3.288343362
846	3.287887906
847	3.286381219
848	3.284989973
849	3.28308238
850	3.281897254
851	3.279326115
852	3.277713515
853	3.275718099
854	3.273263583
855	3.270244328
856	3.269608048
857	3.269142802
858	3.267536059
859	3.265041372
860	3.264013478
861	3.260279644
862	3.259319682
863	3.257881951
864	3.257697226
865	3.257227166
866	3.254641921
867	3.253321881
868	3.2514261
869	3.250622872
870	3.249550967
871	3.248964227
872	3.248041539
873	3.245476648
874	3.24226597
875	3.241816664
876	3.238882415
877	3.2374479
878	3.233798296
879	3.233742078
880	3.23169184
881	3.231251978
882	3.230731936
883	3.230153498
884	3.229000944
885	3.228536625
886	3.224407413
887	3.220926796
888	3.218550791
889	3.218487393
890	3.216660357
891	3.214293761
892	3.212356254
893	3.212014742
894	3.211679244
895	3.210225447
896	3.209691908
897	3.209507437
898	3.208845444
899	3.208296945
900	3.206289789
901	3.203963071
902	3.20282127
903	3.201972919
904	3.199700665
905	3.198943009
906	3.196660726
907	3.193721384
908	3.191981948
909	3.191244665
910	3.189711717
911	3.188227459
912	3.185926159
913	3.185337332
914	3.183436595
915	3.183317008
916	3.180560853
917	3.17768972
918	3.177127294
919	3.176530477
920	3.17570473
921	3.174062083
922	3.171886523
923	3.169814305
924	3.168236387
925	3.165825638
926	3.164216505
927	3.162623647
928	3.159940203
929	3.158047442
930	3.157633141
931	3.156235779
932	3.155475213
933	3.153686512
934	3.151404759
935	3.150354703
936	3.147808682
937	3.145579086
938	3.144196131
939	3.142349535
940	3.142205125
941	3.140316816
942	3.137001093
943	3.135482177
944	3.134483073
945	3.132384932
946	3.130464873
947	3.129671553
948	3.127092296
949	3.125779309
950	3.125202015
951	3.123508694
952	3.123490888
953	3.123059288
954	3.12199309
955	3.119851501
956	3.119150932
957	3.118370641
958	3.116631891
959	3.114365421
960	3.113715887
961	3.112769628
962	3.109947166
963	3.107246117
964	3.107203299
965	3.105599517
966	3.10545305
967	3.105049256
968	3.102744513
969	3.101632326
970	3.100857808
971	3.098884489
972	3.097379612
973	3.096182727
974	3.094859656
975	3.093448339
976	3.092974442
977	3.092808266
978	3.090808675
979	3.088717534
980	3.08785563
981	3.086287696
982	3.085469648
983	3.083393371
984	3.08277489
985	3.080422574
986	3.077113194
987	3.076017999
988	3.074641066
989	3.072995937
990	3.072881328
991	3.072260427
992	3.070108194
993	3.069607133
994	3.067616435
995	3.06627101
996	3.066181106
997	3.065331085
998	3.064801227
999	3.063993251
